1578029.176471 5100188.764706              CB82-08 347.00 1.4201 -10.2327
1578011.352941 5100206.529412              CB82-08 348.00 1.4197 -9.83858
1577993.529410 5100224.294119              CB82-08 349.00 1.4190 -9.39477
1577975.705882 5100242.058824              CB82-08 350.00 1.4186 -9.68541
1577957.882349 5100259.823533              CB82-08 351.00 1.4183 -9.29761
1577940.058821 5100277.588238              CB82-08 352.00 1.4181 -8.59809
1577922.235293 5100295.352943              CB82-08 353.00 1.4176 -8.05587
1577904.411764 5100313.117648              CB82-08 354.00 1.4171 -7.67036
1577886.588227 5100330.882361              CB82-08 355.00 1.4169 -8.22494
1577868.764698 5100348.647066              CB82-08 356.00 1.4168 -8.58095
1577850.941170 5100366.411771              CB82-08 357.00 1.4166 -8.67517
1577833.117642 5100384.176476              CB82-08 358.00 1.4164 -9.88261
1577815.294113 5100401.941181              CB82-08 359.00 1.4164 -10.415
1577797.470585 5100419.705886              CB82-08 360.00 1.4161 -10.0898
1577779.647057 5100437.470590              CB82-08 361.00 1.4159 -9.9046
1577761.823528 5100455.235295              CB82-08 362.00 1.4156 -9.70035
1577744.000000 5100473.000000              CB82-08 363.00 1.4153 -8.47297
1577726.384615 5100490.692308              CB82-08 364.00 1.4148 -7.09337
1577708.769229 5100508.384617              CB82-08 365.00 1.4142 -6.12978
1577691.153846 5100526.076923              CB82-08 366.00 1.4144 -6.47709
1577673.538459 5100543.769233              CB82-08 367.00 1.4143 -7.0945
1577655.923075 5100561.461540              CB82-08 368.00 1.4141 -8.15832
1577638.307692 5100579.153847              CB82-08 369.00 1.4137 -7.93602
1577620.692301 5100596.846160              CB82-08 370.00 1.4138 -7.31293
1577603.076918 5100614.538467              CB82-08 371.00 1.4142 -6.4776
1577585.461534 5100632.230773              CB82-08 372.00 1.4144 -6.40093
1577567.846151 5100649.923080              CB82-08 373.00 1.4140 -6.14779
1577550.230767 5100667.615387              CB82-08 374.00 1.4136 -6.54006
1577532.615384 5100685.307693              CB82-08 375.00 1.4135 -6.92893
1577515.000000 5100703.000000              CB82-08 376.00 1.4133 -6.87846
1577497.027778 5100720.250000              CB82-08 377.00 1.4136 -7.27382
1577479.055555 5100737.500000              CB82-08 378.00 1.4139 -7.87542
1577461.083332 5100754.750002              CB82-08 379.00 1.4141 -8.16962
1577443.111111 5100772.000001              CB82-08 380.00 1.4143 -8.26009
1577425.138885 5100789.250004              CB82-08 381.00 1.4142 -7.99775
1577407.166663 5100806.500003              CB82-08 382.00 1.4142 -8.22002
1577389.194442 5100823.750002              CB82-08 383.00 1.4145 -9.0131
1577371.222221 5100841.000001              CB82-08 384.00 1.4143 -9.69665
1577353.250000 5100858.250000              CB82-08 385.00 1.4139 -9.72129
1577335.277769 5100875.500008              CB82-08 386.00 1.4137 -9.59131
1577317.305558 5100892.749998              CB82-08 387.00 1.4135 -10.1111
1577299.333327 5100910.000006              CB82-08 388.00 1.4132 -10.5967
1577281.361115 5100927.249996              CB82-08 389.00 1.4130 -10.2638
1577263.388885 5100944.500004              CB82-08 390.00 1.4128 -9.97891
1577245.416673 5100961.749994              CB82-08 391.00 1.4128 -9.95841
1577227.444442 5100979.000002              CB82-08 392.00 1.4129 -9.65443
1577209.472231 5100996.249992              CB82-08 393.00 1.4129 -9.72641
1577191.500000 5101013.500000              CB82-08 394.00 1.4128 -10.0179
1577173.527769 5101030.750008              CB82-08 395.00 1.4125 -9.75339
1577155.555538 5101048.000016              CB82-08 396.00 1.4123 -10.071
1577137.583346 5101065.249988              CB82-08 397.00 1.4123 -10.5653
1577119.611115 5101082.499996              CB82-08 398.00 1.4120 -11.1525
1577101.638885 5101099.750004              CB82-08 399.00 1.4118 -11.7969
1577083.666654 5101117.000012              CB82-08 400.00 1.4116 -12.052
1577065.694462 5101134.249984              CB82-08 401.00 1.4113 -11.6599
1577047.722231 5101151.499992              CB82-08 402.00 1.4110 -11.6495
1577029.750000 5101168.750000              CB82-08 403.00 1.4106 -11.477
