1579476.999979 5098784.714306              CB82-08 266.00 1.4519 0
1579459.000002 5098801.928569              CB82-08 267.00 1.4519 0
1579440.999981 5098819.142876              CB82-08 268.00 1.4517 0
1579423.000004 5098836.357139              CB82-08 269.00 1.4515 0
1579404.999983 5098853.571445              CB82-08 270.00 1.4514 0
1579387.000006 5098870.785708              CB82-08 271.00 1.4517 0
1579368.999985 5098888.000014              CB82-08 272.00 1.4521 0
1579351.000009 5098905.214278              CB82-08 273.00 1.4523 0
1579332.999987 5098922.428584              CB82-08 274.00 1.4525 0
1579315.000011 5098939.642847              CB82-08 275.00 1.4522 0
1579296.999989 5098956.857153              CB82-08 276.00 1.4512 0
1579279.000013 5098974.071416              CB82-08 277.00 1.4507 0
1579260.999991 5098991.285722              CB82-08 278.00 1.4503 0
1579243.000015 5099008.499986              CB82-08 279.00 1.4501 0
1579224.999994 5099025.714292              CB82-08 280.00 1.4503 0
1579207.000017 5099042.928555              CB82-08 281.00 1.4506 0
1579188.999996 5099060.142861              CB82-08 282.00 1.4511 0
1579171.000019 5099077.357124              CB82-08 283.00 1.4513 0
1579152.999998 5099094.571431              CB82-08 284.00 1.4511 0
1579135.000021 5099111.785694              CB82-08 285.00 1.4508 0
1579117.000000 5099129.000000              CB82-08 286.00 1.4504 0
1579099.000000 5099146.347826              CB82-08 287.00 1.4501 0
1579080.999999 5099163.695653              CB82-08 288.00 1.4500 0
1579063.000001 5099181.043478              CB82-08 289.00 1.4500 0
1579044.999999 5099198.391306              CB82-08 290.00 1.4500 0
1579027.000003 5099215.739128              CB82-08 291.00 1.4502 0
1579009.000001 5099233.086955              CB82-08 292.00 1.4504 0
1578991.000005 5099250.434777              CB82-08 293.00 1.4510 0
1578972.999997 5099267.782611              CB82-08 294.00 1.4516 0
1578955.000002 5099285.130433              CB82-08 295.00 1.4516 0
1578937.000006 5099302.478255              CB82-08 296.00 1.4511 0
1578918.999998 5099319.826089              CB82-08 297.00 1.4507 0
1578901.000002 5099337.173911              CB82-08 298.00 1.4506 0
1578883.000006 5099354.521733              CB82-08 299.00 1.4507 0
1578865.000011 5099371.869555              CB82-08 300.00 1.4507 0
1578846.999990 5099389.217401              CB82-08 301.00 1.4503 0
1578828.999995 5099406.565223              CB82-08 302.00 1.4497 0
1578810.999999 5099423.913045              CB82-08 303.00 1.4492 0
1578793.000003 5099441.260866              CB82-08 304.00 1.4488 0
1578775.000008 5099458.608688              CB82-08 305.00 1.4489 0
1578757.000012 5099475.956510              CB82-08 306.00 1.4489 0
1578738.999991 5099493.304356              CB82-08 307.00 1.4491 0
1578720.999996 5099510.652178              CB82-08 308.00 1.4491 0
1578703.000000 5099528.000000              CB82-08 309.00 1.4492 0
1578685.270270 5099545.378379              CB82-08 310.00 1.4495 0
1578667.540540 5099562.756758              CB82-08 311.00 1.4495 0
1578649.810813 5099580.135133              CB82-08 312.00 1.4493 0
1578632.081079 5099597.513515              CB82-08 313.00 1.4488 0
1578614.351355 5099614.891888              CB82-08 314.00 1.4482 0
1578596.621626 5099632.270266              CB82-08 315.00 1.4475 0
1578578.891888 5099649.648653              CB82-08 316.00 1.4470 0
1578561.162159 5099667.027030              CB82-08 317.00 1.4470 0
1578543.432430 5099684.405408              CB82-08 318.00 1.4472 0
