1579584.999995 5098681.428577              CB82-08 260.00 1.6277 -1.49125
1579566.999996 5098698.642861              CB82-08 261.00 1.6282 -1.47745
1579548.999997 5098715.857146              CB82-08 262.00 1.6285 -2.17329
1579530.999998 5098733.071431              CB82-08 263.00 1.6283 -2.87335
1579512.999999 5098750.285715              CB82-08 264.00 1.6276 -3.67488
1579495.000000 5098767.500000              CB82-08 265.00 1.6272 -4.10204
1579476.999979 5098784.714306              CB82-08 266.00 1.6267 -3.8687
1579459.000002 5098801.928569              CB82-08 267.00 1.6260 -2.86506
1579440.999981 5098819.142876              CB82-08 268.00 1.6251 -1.91537
1579423.000004 5098836.357139              CB82-08 269.00 1.6244 -1.56396
1579404.999983 5098853.571445              CB82-08 270.00 1.6236 -1.7957
1579387.000006 5098870.785708              CB82-08 271.00 1.6230 -2.46015
1579368.999985 5098888.000014              CB82-08 272.00 1.6228 -3.3397
1579351.000009 5098905.214278              CB82-08 273.00 1.6229 -3.41112
1579332.999987 5098922.428584              CB82-08 274.00 1.6230 -3.00412
1579315.000011 5098939.642847              CB82-08 275.00 1.6231 -2.98166
1579296.999989 5098956.857153              CB82-08 276.00 1.6232 -3.0018
1579279.000013 5098974.071416              CB82-08 277.00 1.6234 -3.34742
1579260.999991 5098991.285722              CB82-08 278.00 1.6232 -3.82221
1579243.000015 5099008.499986              CB82-08 279.00 1.6232 -4.34851
1579224.999994 5099025.714292              CB82-08 280.00 1.6234 -4.8124
1579207.000017 5099042.928555              CB82-08 281.00 1.6235 -5.05678
1579188.999996 5099060.142861              CB82-08 282.00 1.6233 -5.03005
1579171.000019 5099077.357124              CB82-08 283.00 1.6232 -5.25975
1579152.999998 5099094.571431              CB82-08 284.00 1.6232 -6.00463
1579135.000021 5099111.785694              CB82-08 285.00 1.6234 -6.52596
1579117.000000 5099129.000000              CB82-08 286.00 1.6234 -6.91087
1579099.000000 5099146.347826              CB82-08 287.00 1.6236 -6.80797
1579080.999999 5099163.695653              CB82-08 288.00 1.6240 -6.61692
1579063.000001 5099181.043478              CB82-08 289.00 1.6241 -6.23971
1579044.999999 5099198.391306              CB82-08 290.00 1.6238 -5.6865
1579027.000003 5099215.739128              CB82-08 291.00 1.6236 -5.12455
1579009.000001 5099233.086955              CB82-08 292.00 1.6233 -4.54371
1578991.000005 5099250.434777              CB82-08 293.00 1.6231 -4.57244
1578972.999997 5099267.782611              CB82-08 294.00 1.6229 -4.91977
1578955.000002 5099285.130433              CB82-08 295.00 1.6227 -5.01932
1578937.000006 5099302.478255              CB82-08 296.00 1.6228 -4.5944
1578918.999998 5099319.826089              CB82-08 297.00 1.6229 -3.7536
1578901.000002 5099337.173911              CB82-08 298.00 1.6228 -2.72525
1578883.000006 5099354.521733              CB82-08 299.00 1.6218 -2.10687
1578865.000011 5099371.869555              CB82-08 300.00 1.6201 -2.79376
1578846.999990 5099389.217401              CB82-08 301.00 1.6193 -4.12158
1578828.999995 5099406.565223              CB82-08 302.00 1.6187 -5.62155
1578810.999999 5099423.913045              CB82-08 303.00 1.6179 -6.63364
1578793.000003 5099441.260866              CB82-08 304.00 1.6173 -7.29645
1578775.000008 5099458.608688              CB82-08 305.00 1.6172 -8.09466
1578757.000012 5099475.956510              CB82-08 306.00 1.6168 -8.74117
1578738.999991 5099493.304356              CB82-08 307.00 1.6163 -9.27388
1578720.999996 5099510.652178              CB82-08 308.00 1.6160 -8.9964
1578703.000000 5099528.000000              CB82-08 309.00 1.6157 -7.8678
1578685.270270 5099545.378379              CB82-08 310.00 1.6158 -7.13186
1578667.540540 5099562.756758              CB82-08 311.00 1.6158 -7.4841
1578649.810813 5099580.135133              CB82-08 312.00 1.6154 -7.75387
1578632.081079 5099597.513515              CB82-08 313.00 1.6152 -7.34737
1578614.351355 5099614.891888              CB82-08 314.00 1.6151 -6.86622
1578596.621626 5099632.270266              CB82-08 315.00 1.6151 -5.97156
1578578.891888 5099649.648653              CB82-08 316.00 1.6153 -5.57645
1578561.162159 5099667.027030              CB82-08 317.00 1.6154 -6.13146
1578543.432430 5099684.405408              CB82-08 318.00 1.6151 -6.55938
1578525.702711 5099701.783776              CB82-08 319.00 1.6149 -6.59882
1578507.972972 5099719.162163              CB82-08 320.00 1.6149 -6.63027
1578490.243253 5099736.540531              CB82-08 321.00 1.6154 -6.21927
1578472.513514 5099753.918918              CB82-08 322.00 1.6159 -5.56823
1578454.783775 5099771.297306              CB82-08 323.00 1.6159 -5.34463
1578437.054056 5099788.675674              CB82-08 324.00 1.6153 -5.13775
1578419.324317 5099806.054061              CB82-08 325.00 1.6141 -4.97346
1578401.594598 5099823.432429              CB82-08 326.00 1.6130 -4.81259
1578383.864860 5099840.810816              CB82-08 327.00 1.6125 -4.24799
1578366.135140 5099858.189184              CB82-08 328.00 1.6116 -4.23571
1578348.405421 5099875.567552              CB82-08 329.00 1.6109 -5.01421
1578330.675663 5099892.945958              CB82-08 330.00 1.6104 -5.66251
1578312.945944 5099910.324326              CB82-08 331.00 1.6099 -5.55944
1578295.216225 5099927.702694              CB82-08 332.00 1.6092 -4.76921
1578277.486506 5099945.081062              CB82-08 333.00 1.6087 -4.09618
1578259.756747 5099962.459469              CB82-08 334.00 1.6080 -4.62544
1578242.027028 5099979.837837              CB82-08 335.00 1.6076 -5.5912
1578224.297309 5099997.216205              CB82-08 336.00 1.6072 -5.61934
1578206.567551 5100014.594611              CB82-08 337.00 1.6069 -4.86323
1578188.837831 5100031.972979              CB82-08 338.00 1.6072 -4.54905
1578171.108112 5100049.351347              CB82-08 339.00 1.6071 -5.15729
1578153.378393 5100066.729715              CB82-08 340.00 1.6067 -6.16698
1578135.648635 5100084.108122              CB82-08 341.00 1.6064 -6.48464
1578117.918916 5100101.486490              CB82-08 342.00 1.6061 -6.70326
